Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,Average,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,1/13/2018 1:00,2018,1,13,1,255,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 2:00,2018,1,13,2,285,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 3:00,2018,1,13,3,289,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 4:00,2018,1,13,4,268,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 5:00,2018,1,13,5,258,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 6:00,2018,1,13,6,275,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 7:00,2018,1,13,7,276,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 8:00,2018,1,13,8,282,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 9:00,2018,1,13,9,274,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 10:00,2018,1,13,10,207,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 11:00,2018,1,13,11,195,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 12:00,2018,1,13,12,194,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 13:00,2018,1,13,13,185,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 14:00,2018,1,13,14,201,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 15:00,2018,1,13,15,213,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 16:00,2018,1,13,16,221,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 17:00,2018,1,13,17,241,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 18:00,2018,1,13,18,280,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 19:00,2018,1,13,19,296,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 20:00,2018,1,13,20,277,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 21:00,2018,1,13,21,271,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 22:00,2018,1,13,22,275,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/13/2018 23:00,2018,1,13,23,303,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 0:00,2018,1,14,0,333,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 1:00,2018,1,14,1,351,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 2:00,2018,1,14,2,344,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 3:00,2018,1,14,3,315,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 4:00,2018,1,14,4,305,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 5:00,2018,1,14,5,292,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 6:00,2018,1,14,6,299,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 7:00,2018,1,14,7,302,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 8:00,2018,1,14,8,249,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 9:00,2018,1,14,9,280,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 10:00,2018,1,14,10,337,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/14/2018 11:00,2018,1,14,11,350,,UG/M3,1 Hr,Valid
